,fighter,current_lose_streak,current_win_streak,avg_head_landed,avg_KD,avg_sig_str_landed,avg_td_landed,avg_total_str_landed,longest_winning_streak,losses,total_title_bouts,win_by_ko/tko,wins,stance,height_cms,reach_cms,weight_lbs,age,total_fights
3265,Jeremy Stephens,1,0,20.13636364,0.454545455,34.22727273,1.2272727270000001,51.04545455,3,11,0,5,11,Orthodox,172.72,180.34,145.0,30.0,22
3266,Rick Story,0,2,25.88235294,0.352941176,48.58823529,2.2941176469999998,74.23529412,6,6,0,2,11,Southpaw,175.26,180.34,170.0,31.0,17
3267,Lorenz Larkin,1,0,18.875,0.25,39.375,0.0,45.125,2,5,0,2,3,Orthodox,180.34,182.88,170.0,29.0,8
3268,Paul Felder,0,1,28.6,0.2,47.4,0.6,59.2,2,2,0,1,3,Orthodox,180.34,177.8,155.0,32.0,5
3269,Bryan Caraway,0,1,24.57142857,0.0,31.57142857,2.142857143,63.28571429,2,2,0,0,5,Orthodox,172.72,172.72,135.0,31.0,7
3270,Stipe Miocic,0,2,43.3,0.3,54.6,1.6,91.0,3,2,0,5,8,Orthodox,193.04,203.2,240.0,33.0,10
3272,Stefan Struve,1,0,13.625,0.125,24.4375,0.25,35.0,4,6,0,4,10,Orthodox,210.82,213.36,265.0,28.0,16
3273,Gunnar Nelson,1,0,15.71428571,0.14285714300000002,20.14285714,1.0,27.42857143,4,2,0,0,5,Switch,180.34,182.88,170.0,27.0,7
3275,Edson Barboza,1,0,16.14285714,0.571428571,39.14285714,0.428571429,39.85714286,4,4,0,5,10,Orthodox,180.34,190.5,155.0,30.0,14
3277,Kevin Lee,1,0,28.16666667,0.0,40.5,2.333333333,59.0,4,2,0,0,4,Orthodox,175.26,195.58,170.0,23.0,6
3278,Michael Chiesa,0,2,14.75,0.125,20.75,1.75,44.5,2,2,1,0,6,Southpaw,185.42,190.5,170.0,28.0,8
3279,Raquel Pennington,0,1,32.2,0.0,49.6,1.2,61.2,1,2,0,0,3,Orthodox,170.18,170.18,135.0,27.0,5
3280,Santiago Ponzinibbio,0,1,23.6,0.6,33.2,0.2,36.2,2,2,0,2,3,Orthodox,182.88,185.42,170.0,29.0,5
3281,Cezar Ferreira,2,0,8.571428571,0.28571428600000004,14.71428571,0.857142857,23.0,3,3,1,0,4,Southpaw,185.42,198.12,185.0,31.0,7
3282,Junior Dos Santos,1,0,35.42857143,0.857142857,52.14285714,0.35714285700000004,59.0,9,3,4,8,11,Orthodox,193.04,195.58,238.0,32.0,14
3287,Lucas Martins,2,0,17.0,0.5,24.5,0.0,28.5,3,3,0,2,3,Southpaw,182.88,182.88,145.0,27.0,6
3288,Neil Magny,0,2,31.61538462,0.076923077,44.46153846,2.538461538,82.46153846,7,3,0,3,10,Orthodox,190.5,203.2,170.0,28.0,13
3290,Alan Jouban,1,0,23.8,0.4,36.8,0.2,42.8,2,2,0,2,3,Southpaw,182.88,185.42,170.0,34.0,5
3292,Nate Diaz,0,1,34.95238095,0.14285714300000002,46.04761905,0.7142857140000001,75.47619048,5,8,2,2,13,Southpaw,182.88,193.04,170.0,30.0,21
3293,Miesha Tate,0,4,24.33333333,0.166666667,35.0,1.166666667,68.5,4,2,1,0,4,Orthodox,167.64,165.1,135.0,29.0,6
3294,Ilir Latifi,0,2,4.666666667,0.333333333,7.5,0.5,8.166666667000001,2,2,0,3,4,Orthodox,177.8,185.42,205.0,32.0,6
3298,Michael Bisping,0,2,39.375,0.208333333,53.54166667,1.083333333,67.33333333,4,7,1,9,17,Orthodox,185.42,190.5,185.0,36.0,24
3299,Brad Pickett,3,0,24.1,0.3,35.6,1.5,52.0,2,6,0,1,4,Orthodox,167.64,172.72,135.0,37.0,10
3302,Rustam Khabilov,2,0,12.4,0.2,16.8,2.8,24.8,3,2,0,1,3,Orthodox,172.72,185.42,155.0,29.0,5
3308,Stephen Thompson,0,5,28.14285714,1.0,42.71428571,0.7142857140000001,51.14285714,5,1,0,4,6,Orthodox,182.88,190.5,170.0,32.0,7
3309,Justin Scoggins,0,1,25.0,0.0,37.8,3.4,51.0,2,2,0,1,3,Southpaw,170.18,167.64,125.0,23.0,5
3312,Ben Rothwell,0,3,16.125,0.375,20.5,0.875,32.125,3,3,0,3,5,Orthodox,193.04,198.12,265.0,34.0,8
3316,Wilson Reis,1,0,12.8,0.0,23.8,3.4,54.4,2,2,0,0,3,Southpaw,162.56,165.1,125.0,31.0,5
3320,Francisco Trinaldo,0,4,16.09090909,0.272727273,30.09090909,0.727272727,45.18181818,4,3,0,2,8,Southpaw,175.26,177.8,155.0,37.0,11
3321,Ed Herman,1,0,15.41176471,0.117647059,26.05882353,1.764705882,56.23529412,3,8,1,2,9,Orthodox,185.42,195.58,205.0,35.0,17
3322,Albert Tumenov,0,4,26.8,1.0,29.6,0.2,33.2,4,1,0,3,4,Orthodox,180.34,185.42,170.0,24.0,5
3324,Drew Dober,2,0,16.4,0.0,27.4,0.0,39.4,1,4,0,0,1,Southpaw,172.72,177.8,155.0,27.0,5
3326,Alistair Overeem,0,2,18.42857143,0.571428571,38.85714286,0.28571428600000004,54.85714286,2,3,0,2,4,Orthodox,193.04,203.2,265.0,35.0,7
3327,Nate Diaz,1,0,29.95,0.15,40.7,0.75,71.4,5,8,2,2,12,Southpaw,182.88,193.04,170.0,30.0,20
3328,Nate Marquardt,2,0,15.89473684,0.473684211,24.57894737,1.526315789,34.31578947,4,8,1,4,11,Orthodox,182.88,187.96,185.0,36.0,19
3329,Tamdan McCrory,1,0,11.16666667,0.0,17.16666667,1.5,28.0,1,3,0,1,3,Switch,193.04,198.12,185.0,29.0,6
3331,Conor McGregor,0,6,26.16666667,0.833333333,35.16666667,0.833333333,46.33333333,6,0,1,5,6,Southpaw,175.26,187.96,155.0,27.0,6
3332,Luke Rockhold,0,4,6.0,0.4,13.0,0.2,17.2,4,1,0,1,4,Southpaw,190.5,195.58,185.0,31.0,5
3333,Yoel Romero,0,6,19.66666667,0.666666667,39.0,1.8333333330000001,51.5,6,0,0,5,6,Southpaw,182.88,185.42,185.0,38.0,6
3335,Yancy Medeiros,1,0,8.5,0.333333333,16.33333333,0.0,17.5,2,4,0,0,2,Orthodox,177.8,190.5,155.0,28.0,6
3336,Tony Ferguson,0,6,21.8,0.3,33.8,0.6,44.1,6,1,1,2,9,Orthodox,180.34,193.04,155.0,31.0,10
3337,Evan Dunham,0,2,50.13333333,0.133333333,59.26666667,1.466666667,77.13333333,4,6,0,1,9,Southpaw,177.8,177.8,155.0,33.0,15
3339,Michael Chiesa,0,1,15.28571429,0.14285714300000002,21.85714286,1.714285714,46.14285714,2,2,1,0,5,Southpaw,185.42,190.5,170.0,28.0,7
3340,Thiago Santos,0,2,6.0,0.6,14.8,0.0,16.0,2,2,0,3,3,Orthodox,187.96,193.04,205.0,31.0,5
3347,Leandro Silva,0,1,12.4,0.0,26.6,2.0,44.2,1,3,0,0,2,Orthodox,175.26,182.88,155.0,30.0,5
3352,Robert Whittaker,0,3,38.85714286,0.857142857,46.85714286,0.428571429,52.57142857,3,2,1,3,5,Orthodox,182.88,185.42,185.0,24.0,7
3353,Jared Rosholt,0,2,17.5,0.0,28.33333333,1.5,78.5,3,1,0,1,5,Orthodox,187.96,190.5,265.0,29.0,6
3354,Gian Villante,1,0,26.83333333,0.166666667,49.66666667,0.833333333,59.83333333,2,3,0,2,3,Orthodox,190.5,193.04,205.0,30.0,6
3358,Abel Trujillo,1,0,22.0,0.5,32.33333333,1.6666666669999999,43.33333333,2,3,0,3,3,Orthodox,172.72,177.8,155.0,32.0,6
3360,Thiago Tavares,1,0,14.1875,0.0,20.3125,2.5,62.4375,2,7,0,1,9,Orthodox,170.18,172.72,145.0,30.0,16
3369,Sergio Pettis,1,0,44.0,0.0,60.2,0.8,69.8,2,2,0,0,3,Orthodox,167.64,175.26,135.0,22.0,5
3370,Uriah Hall,0,1,16.57142857,0.28571428600000004,32.57142857,1.0,43.42857143,3,3,1,1,4,Orthodox,182.88,200.66,185.0,31.0,7
3371,Diego Brandao,0,1,13.75,0.25,20.375,1.875,35.875,3,3,1,0,5,Orthodox,170.18,172.72,145.0,28.0,8
3374,John Lineker,0,2,33.375,0.875,57.5,0.5,67.875,4,2,0,4,6,Orthodox,160.02,170.18,135.0,25.0,8
3377,Francisco Trinaldo,0,3,16.2,0.2,31.4,0.8,48.0,3,3,0,1,7,Southpaw,175.26,177.8,155.0,36.0,10
3380,Felipe Arantes,1,0,22.71428571,0.14285714300000002,35.71428571,1.285714286,52.42857143,1,4,0,1,3,Orthodox,172.72,185.42,135.0,27.0,7
3381,Nikita Krylov,0,2,16.4,0.4,22.4,0.0,40.8,2,2,0,2,3,Orthodox,190.5,195.58,205.0,23.0,5
3382,Beneil Dariush,0,4,11.5,0.166666667,21.66666667,1.333333333,32.0,4,1,0,0,5,Southpaw,177.8,182.88,155.0,26.0,6
3384,Patrick Cummins,1,0,33.2,0.0,37.8,3.6,61.8,3,2,0,1,3,Orthodox,187.96,193.04,205.0,34.0,5
